"Employee Number","Last Name","First Name",Sex,Salary
10179,Duclos,Deniz,F,40000
10180,Wendorf,Shaw,M,52444
10181,Nooteboom,Sibyl,M,40000
10182,Merey,Moriyoshi,F,40380
10183,Bonifati,Mechthild,M,40000
10184,Lowrie,Mihalis,M,48586
10185,Sidhu,Duro,F,68334
10186,Kropatsch,Shigehito,M,40000
10187,Narwekar,Tommaso,F,71454
10188,Muchinsky,Christ,F,62365
10189,Erva,Khalid,M,41222
10190,Fairtlough,Arve,F,40000
10191,Nastansky,Zdislav,M,40000
10192,Falck,Mohua,M,40000
10193,Cheshire,Masaru,M,48733
10194,Hofmeyr,Josyula,F,64941
10195,Redmiles,Annemarie,M,40000
10196,Hellwagner,Marc,M,86671
10197,Krzyzanowski,Kasidit,F,40000
10198,Furedi,Pranav,M,44076
10199,Ranta,Kazuhisa,M,42042
10200,Awdeh,Vidya,M,46879
10201,Kavraki,Idoia,F,40000
10202,Lichtner,Greger,M,47338
10203,Escriba,Steen,M,40000
10204,Ritcey,Nevio,F,40000
10205,Leijenhorst,Mabhin,F,40000
10206,Iwayama,Alassane,F,40000
10207,Anandan,Girolamo,F,52783
10208,Klerer,Xiping,M,61890
10209,Ellozy,Yolla,F,57996
10210,Alpin,Yuping,M,40000
10211,Strehl,Vishu,F,49032
10212,Esteva,Divier,M,65938
10213,Kakkad,Jackson,M,40000
10214,Ciolek,Tadahiko,M,58341
10215,Duclos,Xiaobin,M,43944
10216,Ghemri,Amstein,M,40000
10217,Roison,Yongmin,F,40000
10218,Magalhaes,Zhenhua,M,40788
10219,Kolvik,Genta,M,40000
10220,Fasbender,Kish,F,58883
10221,Granlund,Yucai,M,57821
10222,Nourani,Tze,M,40000
10223,Schmiedel,Carrsten,F,62922
10224,Trogemann,Leon,M,40000
10225,Chinen,Kellie,F,40000
10226,Plessier,Xinglin,M,79456
10227,Kaiser,Anneli,M,53497
10228,Cesareni,Karoline,F,79474
10229,Takanami,Ulises,M,58321
10230,Vernadat,Clyde,M,47531
10231,Desikan,Shaowen,F,40000
10232,Auria,Marko,F,89606
10233,Vendrig,Lein,F,40000
10234,Bakhtari,Arunachalam,M,84584
10235,Roccetti,Susanta,F,41941
10236,Bade,Susumu,F,80469
10237,Mandell,Yannis,F,100715
10238,Gire,Mototsugu,F,52764
10239,Llado,Nikolaos,F,65146
10240,Maccarone,Remko,M,73874
10241,Murillo,Ortrud,M,40000
10242,Ozeri,Lunjin,M,40000
10243,Pouyioutas,Wonhee,M,59332
10244,Flasterstein,Foong,M,56292
10245,Gente,Ramalingam,F,40000
10246,Teitelbaum,Basem,M,40000
10247,Riefers,Heon,F,40000
10248,Tempesti,Frederique,F,58918
10249,Boreale,Marie,M,72192
10250,Etalle,Serap,M,50330
10251,Rosenbaum,Alair,M,61743
10252,Wegerle,Shirish,F,40000
10253,Salinas,Zsolt,F,62494
10254,Brattka,Shen,M,60222
10255,Garnick,Roddy,M,63822
10256,Radhakrishnan,Irene,M,71305
10257,Riexinger,Aiman,M,40000
10258,Ishibashi,Basil,F,66280
10259,Vesel,Susanna,M,88991
10260,Suomi,Alper,F,60879
10261,Erie,Mang,M,40000
10262,Maraist,Mahendra,F,63005
10263,Waterhouse,Takahiro,M,67883
10264,Kawashimo,Nalini,F,60522
10265,Muniz,Ramalingam,M,46382
10266,Rassart,Sukumar,M,47093
10267,Cullers,Shaunak,M,40000
10268,Siochi,Nishit,M,41017
10269,Oxman,Taizo,F,40000
10270,Hartvigsen,Bedir,F,42081
10271,Eastman,Sham,M,53680
10272,Cannane,Yishai,M,58070
10273,Lieblein,Baocai,M,75148
10274,Pearson,Dmitri,F,86164
10275,Luck,Marek,F,40000
10276,Hempstead,Xuejun,M,40000
10277,Schwartzbauer,Isaac,M,59534
10278,Nitsch,Lubomir,M,51703
10279,Jumpertz,Barton,F,40000
10280,Delgrange,Stabislas,M,66695
10281,Kusakari,Moty,M,46123
10282,Benzmuller,Hercules,M,40000
10283,Birjandi,Kauko,M,40000
10284,Murrill,Masali,F,40000
10285,Preusig,Zhonghui,F,62075
10286,Gopalakrishnan,Saddek,F,40000
10287,Pietracaprina,Marie,M,55732
10288,Perri,Selwyn,M,80474
10289,Poulakidas,Shay,M,40000
10290,Pleszkun,Yongmao,M,44274
10291,Seghrouchni,Dipayan,M,57430
10292,Ghelli,Yucel,F,78370
10293,Avouris,Mihalis,F,44200
10294,Miara,Rutger,M,66448
10295,Velardi,Kristine,M,46398
10296,Lorho,Petter,M,77788
10297,Oaver,Narain,F,63061
10298,DuCasse,Dietrich,F,40000
10299,Stentiford,Ipke,F,76484
10300,Ulupinar,Tadahiko,F,72504
10301,Staudhammer,Lucien,M,40000
10302,Baer,Faiza,F,58239
10303,Zschoche,Marlo,M,40000
10304,Erie,Bernt,M,106905
10305,Piancastelli,Hirochika,M,52550
10306,Kilgour,Heng,M,44229
10307,Leaver,Nikolaos,M,40000
10308,Holburn,Dzung,F,59715
10309,Schusler,Prodip,F,53031
10310,Alencar,Aksel,M,42894
10311,Molenkamp,Hsiangchu,F,40000
10312,Deyuan,Rasiah,F,56705
10313,Riexinger,Subbu,M,60589
10314,Apsitis,Christfried,M,51939
10315,Angelopoulos,Maris,M,60494
10316,Schwaller,Christoper,M,40000
10317,Birge,Arie,M,51129
10318,Beilner,Mototsugu,F,73259
10319,Miyakawa,Mechthild,M,84162
10320,Stasinski,Uinam,F,58483
10321,Ravishankar,Guenter,M,86819
10322,Dahlbom,Isamu,F,41968
10323,Hinsberger,Kankanahalli,M,40000
10324,Rouquie,Bernardo,F,67499
10325,Badr,Arunachalam,M,44325
10326,Czap,Masali,F,40000
10327,Facello,Roded,M,54734
10328,Kawashima,Serenella,M,46286
10329,Shigei,Remko,F,51664
10330,Bellmore,Kasturi,M,86545
10331,Binkley,Arto,M,55800
10332,Bain,Masanao,F,52133
10333,Dymetman,Snehasis,M,45141
10334,Erie,Falguni,M,40000
10335,Bahi,Toshimori,F,52633
10336,Rothe,Goa,F,63248
10337,Sadowsky,Jeong,M,56061
10338,Ranai,Heon,M,40000
10339,Liedekerke,Teunis,M,40000
10340,Laventhal,Djelloul,M,68132
10341,Greenaway,Wilmer,F,40000
10342,Hiroyama,Stella,F,40000
10343,Syrzycki,Dinah,M,40000
10344,Garnier,Uwe,F,53087
10345,Ratnakar,Arra,M,66930
10346,Radwan,Aamod,M,78088
10347,Kaminger,Pradeep,M,42199
10348,Picco,Mahendra,F,40000
10349,Brodie,Oksana,F,47518
10350,Kavvadias,Kristen,F,41213
10351,Strehl,Tadahiko,F,40000
10352,Ohori,Erzsebet,M,40000
10353,Hammerschmidt,Phule,M,62656
10354,Kusakari,Moto,M,60762
10355,Cochrane,Satyanarayana,M,70434
10356,Standera,Vasilis,M,45376
10357,Sidhu,Hausi,M,40000
10358,Tagansky,Qunsheng,M,63243
10359,Sambasivam,Heekeun,F,40000
10360,Munck,Irene,M,40000
10361,Sidou,Seshu,F,64213
10362,dAstous,Shalesh,M,40000
10363,Muniz,Toshiki,F,40401
10364,Dengi,Nakhoon,M,51401
10365,Granlund,Rosine,F,45523
10366,Piazza,Morrie,M,47229
10367,Gini,Hyuckchul,M,63565
10368,Koshiba,Hatim,M,42463
10369,Toyoshima,Qunsheng,M,47236
10370,Fandrianto,Clyde,M,40010
10371,Kirkerud,Ioana,M,61475
10372,Frijda,Anneli,F,54505
10373,Heijenga,Hongzue,M,53305
10374,Rosin,Willard,F,69568
10375,Kalafatis,Dante,F,93329
10376,Bale,Fai,M,42634
10377,Grospietsch,Marl,M,40000
10378,Lichtner,Takahira,M,75311
10379,Rosis,Mikhail,M,40000
10380,Kamble,Alejandro,F,76387
10381,Parfitt,Jiong,M,78510
10382,Dredge,Shirish,M,45785
10383,Aumann,Leucio,M,47452
10384,Luft,Feiyu,M,43270
10385,Imataki,Khatoun,M,40000
10386,Miyakawa,Eishiro,F,53367
10387,Wrigley,Parto,F,61374
10388,Kaiser,Hironoby,M,62545
10389,Peir,Make,M,55548
10390,Bratten,Wanqing,M,40000
10391,Akaboshi,Hongzue,M,56655
10392,Hainaut,Jiann,M,50962
10393,DasSarma,Yagil,M,40000
10394,Meriste,Shawna,M,40000
10395,Deverell,Takahiro,M,42774
10396,Rahier,Sibyl,M,40393
10397,Reutenauer,Irena,M,40529
10398,Escriba,Shooichi,F,54156
10399,Marchegay,Guenter,F,97010
10400,Nitto,Ortrud,M,63746
10401,Barriga,Eckart,M,40000
10402,Ebeling,Volkmar,M,40000
10403,Mungall,Atreyi,F,83609
10404,Rosti,Prodip,F,51647
10405,Budinsky,Hilary,F,40000
10406,Wynblatt,Sigeru,F,40000
10407,Siepmann,Ulf,M,62565
10408,Kaiser,Martijn,M,76369
10409,Straney,Mario,M,64363
10410,Gecsei,Takahito,F,46546
10411,Klerer,Lidong,F,66415
10412,Fabrizio,Masoud,F,65405
10413,Impagliazzo,Danel,F,45416
10414,Alpin,Yinlin,M,43255
10415,Coorg,Mark,M,50219
10416,Keustermans,Uli,M,68993
10417,Bakhtari,Bingning,M,78571
10418,Porotnikoff,Candida,F,52224
10419,Bauknecht,Maria,F,40569
10420,Riesenhuber,Kaijung,M,69604
10421,Marzano,Divine,M,40000
10422,Rubsam,Greger,F,45725
10423,Cronin,Dante,F,51183
10424,Straney,Babette,M,50054
10425,Osgood,Sashi,M,40000
10426,Luce,Arunas,F,65757
10427,Sudbeck,Khosrow,F,79320
10428,Brlek,Cathie,M,40000
10429,Improta,Martien,F,40000
10430,Chenney,Ferdinand,M,40000
10431,Bugrara,Patricio,M,67068
10432,Tiemann,Hisao,F,40000
10433,Dengi,Reuven,M,40000
10434,Peltason,Dzung,F,40000
10435,Tagansky,Marsha,M,45352
10436,Lammel,Yahiko,M,40000
10437,Reeker,Narain,F,59749
10438,Srimani,Evgueni,F,40000
10439,Jarecki,Jolita,M,62401
10440,Narahara,Akeel,F,54615
10441,Perfilyeva,Adel,M,40000
10442,Unno,Volkmar,M,46005
10443,Litvinov,Shichao,F,55299
10444,Rosis,Kazuhira,M,86407
10445,Kavanagh,Junichi,F,59438
10446,Chepyzhov,Ebru,F,48170
10447,Yavatkar,Ronghao,F,40000
10448,Oxenboll,Phule,F,48558
10449,Sudkamp,Aleksandar,M,55316
10450,Harbusch,Khun,M,40000
10451,Ranta,Bodh,F,46275
10452,Hasham,Werner,M,40000
10453,Matzel,Tsvetan,F,40000
10454,Badr,Wonhee,M,84280
10455,Streng,Sverrir,F,98251
10456,Hardjono,Stepehn,F,57599
10457,Schlenzig,Oddvar,M,60672
10458,Engelmann,Gina,F,76973
10459,Trogemann,Ennio,M,40000
10460,VanScheik,Shushma,M,40000
10461,Karcich,Gal,M,82217
10462,Schlenzig,Sumali,M,40000
10463,Zaiane,Ung,M,66480
10464,Maginnis,Mang,F,40000
10465,Shackel,Claudi,M,59124
10466,Himler,Jiakeng,M,55318
10467,Suomi,Dipayan,F,79905
10468,Shobatake,Yoshimitsu,M,40000
10469,Ananiadou,Munehiko,M,42697
10470,Iwayama,Peternela,M,49593
10471,Yamaashi,Jouko,M,58951
10472,Lodder,Salvador,M,48561
10473,Oskamp,Przemyslawa,M,41613
10474,Garnham,Kenton,F,43948
10475,Rodite,Mario,M,51203
10476,Iisaka,Kokou,M,58221
10477,Trogemann,Guoxiang,F,55138
10478,Ushiama,Maik,M,40000
10479,Coney,Duro,F,40000
10480,Baba,Make,F,55669
10481,Pintelas,Yongmao,F,40000
10482,Pleszkun,Goa,F,79330
10483,Anick,Zhiwei,M,47423
10484,Varley,Nirmal,F,40000
10485,Sundgren,Teruyuki,M,47265
10486,Kossowski,Amstein,F,71692
10487,Middleton,Perla,F,45083
10488,Heering,Mihalis,M,40000
10489,Homond,Elvia,M,56739
10490,Vuskovic,Huiqun,F,62973
10491,Narahari,Garnik,M,66740
10492,Kumaresan,Lobel,M,60838
10493,Haraldson,Maris,M,43998
10494,Servieres,Yakkov,F,50094
10495,Zhiwei,Anyuan,F,75661
10496,Baig,Gretta,M,41835
10497,Rabehasaina,Pramod,M,63707
10498,Cappelletti,Valter,F,40000
10499,Luft,Maik,F,40000
10500,Narwekar,Vojin,M,42688
10501,Larfeldt,Susuma,M,53922
10502,Marshall,Yonghoan,M,40000
10503,Pell,Dannz,M,40000
10504,Varker,Xiong,M,43931
10505,Auria,Isamu,M,63696
10506,Kroll,Kazuhisa,F,40000
10507,Belinskaya,Kasidit,M,40000
10508,Liedekerke,Kotesh,M,46204
10509,Riesenhuber,Abdelwaheb,F,49292
10510,Slobodova,Keung,F,69341
10511,Marrevee,Khoa,M,40000
10512,Gihr,Udi,M,40000
10513,Schicker,Yuichiro,F,86392
10514,McClure,Tomofumi,M,48428
10515,Kirkerud,Raimond,M,91484
10516,Luga,Xiadong,M,74920
10517,Speek,Tiina,M,65330
10518,Lanphier,Marin,M,51168
10519,Alencar,Yonghoan,F,40000
10520,Ecklund,Jenwei,M,40000
10521,Setia,Kwangsub,M,91262
10522,Cesareni,Marke,F,40000
10523,Skafidas,Malu,M,40000
10524,Cincotta,Shigehiro,F,49950
10525,Lunt,Yuchang,M,87439
10526,Theuretzbacher,Kwangho,F,40000
10527,Barvinok,Tetsushi,F,43405
10528,Lakshmanan,Koichi,F,63813
10529,Yetto,Ymte,M,47840
10530,Coors,Boriana,F,68487
10531,Gimbel,Oguz,F,49168
10532,Wossner,Mary,F,87468
10533,Smailagic,Mohamadou,F,57135
10534,Bahl,Dinah,M,40000
10535,Stroustrup,Shalesh,F,47272
10536,Sambasivam,Yechiam,F,57487
10537,Benzmuller,Stella,M,75976
10538,Falby,Przemyslawa,M,72002
10539,Reinhard,Yucel,M,102092
10540,Barriga,Martins,M,66067
10541,Eiter,Godehard,M,50741
10542,Couchot,Yannis,F,40000
10543,Lichtman,Lein,M,86526
10544,Krzyzanowski,Ishfaq,F,45092
10545,dAstous,Hauke,M,57752
10546,Schapiro,Nechama,M,46871
10547,Brobst,Snehasis,M,40000
10548,Gunderson,Ramalingam,M,90631
10549,Kisuki,Beshir,M,63795
10550,Leuchs,Manton,M,40000
10551,Rijsenbrij,Jeong,M,53473
10552,Shiratori,Kazuhito,M,80483
10553,Wallrath,Rajmohan,F,73618
10554,Gerlach,Dines,M,54763
10555,Picci,Vitaly,M,73486
10556,Taubman,JoAnna,F,68797
10557,Karlin,Sashi,M,43289
10558,Famili,Hisao,M,70012
10559,Comellas,Arumugam,F,90120
10560,Esteva,Yinlin,F,40000
10561,Joslin,Serge,F,57319
10562,Pearson,Shuky,M,59596
10563,Spelt,Mohit,M,41280
10564,Thisen,Jianhao,M,46660
10565,Harnett,Yishay,M,40000
10566,Zuberek,Jianhui,F,40000
10567,Journel,Dietrich,M,43717
10568,Poulakidas,Gao,F,64356
10569,Bashian,Sreenivas,M,54732
10570,Morrin,Alassane,M,80145
10571,Varman,Fun,M,43658
10572,Axelband,Cordelia,M,40000
10573,Speel,Tetsushi,F,87241
10574,Olano,Salvador,F,40000
10575,Yeung,Theirry,M,40523
10576,Krychniak,Xiaoqiu,M,63861
10577,Schmiedel,Ennio,M,48286
10578,Shanbhogue,Shigeaki,F,47301
10579,Stentiford,Aiman,M,61438
10580,Rehfuss,Christoper,M,40000
10581,Prochazka,Odinaldo,F,46569
10582,Juneja,Shmuel,M,40973
10583,Stille,Prasadram,F,79782
10584,Papastamatiou,Mana,M,66898
10585,Willoner,Sajjad,F,58389
10586,Vuskovic,Kirk,M,47541
10587,Srimani,Behnaam,F,81562
10588,Dulay,Shigeo,F,41478
10589,Sanella,Subbu,M,57215
10590,Kalloufi,Yongqiao,M,51930
10591,Hettesheimer,Hidde,F,55131
10592,Alvarado,Almudena,M,55997
10593,Kenevan,Falguni,M,71435
10594,Whitcomb,Kiyokazu,M,40000
10595,Undy,Giri,M,40000
10596,Coors,Sanjit,M,58689
10597,Schaad,Lucien,F,64739
10598,Gronowski,Margo,M,43329
10599,Crelier,Seshu,F,51952
10600,Rettelbach,Emran,F,53535
10601,Usdin,Barton,M,40000
10602,Wossner,Douadi,M,55058
10603,Restivo,Wayne,M,101271
10604,Brizzi,Susanna,M,50849
10605,Wixon,Moti,F,43162
10606,Marakhovsky,Toshiki,M,40000
10607,Hambrick,Rosalyn,F,55024
10608,Talmor,Adhemar,F,40000
10609,Zhang,Janche,M,80458
10610,Roccetti,Irena,F,49812
10611,Blokdijk,Karsten,M,40000
10612,Peroz,Gil,M,40000
10613,Jansen,Inderjeet,M,40000
10614,Ozeri,Gila,F,40000
10615,Delgrande,Keung,M,43533
10616,Marwedel,Tommaso,F,87010
10617,Angel,Hidekazu,F,40000
10618,Yeung,Ranga,F,41127
10619,Kusakabe,Vivian,M,81662
10620,Veeraraghavan,Marit,M,48584
10621,Siepmann,Hinrich,F,68991
10622,Narlikar,Turgut,M,40000
10623,Danlos,Aleksander,F,60268
10624,Gyorkos,Sham,F,40000
10625,Petereit,Leszek,F,59732
10626,Deverell,Danil,M,40000
10627,Itzfeldt,Shigeu,M,40000
10628,Krogh,Krisda,M,41650
10629,Francisci,Lalit,F,87045
10630,Katzenelson,Bezalel,F,40000
10631,Chaudhuri,Inderjeet,M,40000
10632,Velardi,Yoshimitsu,F,81733
10633,Herber,Sorina,M,81900
10634,Chepyzhov,Nahid,M,45179
10635,Angiulli,Toney,F,40000
10636,Porotnikoff,Saeko,F,40904
10637,Frolund,Heejo,M,103579
10638,Borovoy,Jenwei,M,41573
10639,Erol,Pramod,M,46291
10640,Meszaros,Anneke,M,65156
10641,Zucker,Guozhong,M,41785
10642,Narlikar,Hirochika,M,40000
10643,Keirsey,Slavian,M,46600
10644,Benaini,Pranas,M,75403
10645,Esposito,Fumiyo,M,40000
10646,Chorvat,Uri,M,51562
10647,Bahk,Tesuro,M,48302
10648,Ratnaker,Marlo,F,40000
10649,Welham,Vitali,M,40000
10650,Chepyzhov,Hongzhu,M,43591
10651,Maginnis,Zijian,M,42023
10652,Chachaty,Danai,M,53160
10653,Feinberg,Otmar,M,40000
10654,Castellani,Nahla,F,49062
10655,Dalton,Remko,F,82968
10656,Litzkow,Sanjay,M,40658
10657,Kitsuregawa,Juichirou,M,52462
10658,Rijckaert,Junsik,F,60978
10659,Shackel,Dinah,F,40000
10660,Kolinko,Jouko,M,41814
10661,Giarratana,Ottavia,F,48179
10662,Serra,Arto,F,71708
10663,Noriega,Teunis,M,47521
10664,Peck,Xumin,M,48215
10665,Snyers,Qingxiang,M,40000
10666,Reeker,Zhonghua,M,78258
10667,Cusworth,Makato,F,40000
10668,Granlund,Maren,F,65326
10669,Iisaka,Yurij,F,40000
10670,McAffer,Shunichi,M,74595
10671,Rebaine,Parviz,M,74037
10672,Zeilberger,Bluma,M,64663
10673,Casperson,Hyuckchul,M,40000
10674,Bisiani,Abdelaziz,M,40000
10675,Waschkowski,Ymte,F,62205
10676,Danley,Valeri,F,58226
10677,Perng,Alejandra,F,56994
10678,Gide,Chriss,F,60389
10679,Brender,Neven,M,40000
10680,Honglei,Kish,M,40000
10681,Garnier,Florina,M,84136
10682,Haumacher,Bedir,M,40000
10683,Stranks,Guiseppe,F,40000
10684,Tokunaga,Aimee,F,45861
10685,Cusworth,Zongyan,M,60601
10686,Azadmanesh,Avishai,F,50869
10687,Kaiser,Leon,F,40000
10688,Lanphier,Xiaopeng,F,88410
10689,Otillio,Satoru,M,40000
10690,Jumpertz,Matt,F,72028
10691,Setia,Denny,M,46745
10692,Bage,Larisa,M,81380
10693,Daescu,Berhard,F,40000
10694,Straney,Rildo,M,53020
10695,Acton,Zorica,M,85720
10696,Fendler,Unal,M,68913
10697,Hiltgen,Bluma,M,40000
10698,Engberts,Barton,M,40000
10699,Deverell,Hatim,M,40000
10700,Mondadori,Angel,M,41400
10701,Zolotykh,Hyuncheol,M,74949
10702,Szemeredi,Bader,M,46581
10703,Baumann,Giri,F,56724
10704,Kropatsch,Yolla,M,40000
10705,Wynblatt,Hironobu,M,83673
10706,Eldridge,Gonzalo,M,56139
10707,Trystram,Moty,M,49504
10708,Erman,Aral,M,43514
10709,Mateescu,Jiafu,F,40000
10710,Kermarrec,Sorina,M,78877
10711,DuBourdieux,Arvind,F,41824
10712,Koprowski,Uma,F,40000
10713,Naumovich,Jagoda,M,70575
10714,Sadowsky,Aran,M,48821
10715,Poehlman,Goa,M,42323
10716,Constantine,Aiman,M,44101
10717,Tasistro,Serap,M,57525
10718,Rullman,Adib,M,75473
10719,Karunanithi,Guenter,F,40000
10720,Kruskal,Odinaldo,M,45832
10721,Redmiles,Bernd,F,40000
10722,Gornas,Dung,M,70199
10723,Harnett,Eckart,F,40000
10724,Narlikar,Aluzio,M,42347
10725,Isard,Garnet,M,79207
10726,Minakawa,Zita,F,46315
10727,Kitai,Saeed,F,58253
10728,Maliniak,Ugo,F,40000
10729,Lorho,Percy,F,40000
10730,Janetzko,Mohit,M,62107
10731,Peak,Fumitaka,M,77892
10732,Andreotta,Morris,F,40000
10733,Rodham,Sangeeta,F,48013
10734,Erdi,Sachar,M,47377
10735,Gewali,Morrie,M,40000
